Time [s];Ratio 670nm / 650nm;Capillary Position
-3.1502;0.9317238;17
-3.1002;0.9320663;17
-3.0502;0.9333908;17
-3.0002;0.9335521;17
-2.9502;0.9308652;17
-2.9002;0.9325077;17
-2.8502;0.9317464;17
-2.8002;0.9334998;17
-2.7501;0.9322631;17
-2.7001;0.9360739;17
-2.6501;0.9350842;17
-2.6001;0.9311025;17
-2.5501;0.9348104;17
-2.5001;0.9342146;17
-2.4501;0.9341547;17
-2.4001;0.9356745;17
-2.3501;0.9331721;17
-2.3001;0.9321234;17
-2.2501;0.9349709;17
-2.2001;0.9286062;17
-2.1501;0.9358081;17
-2.1001;0.9315493;17
-2.0501;0.9338561;17
-2.0001;0.9354138;17
-1.9501;0.9321482;17
-1.9001;0.9356973;17
-1.8501;0.9361768;17
-1.8001;0.9328484;17
-1.7501;0.93341;17
-1.7001;0.9283306;17
-1.6501;0.9311026;17
-1.6001;0.9353636;17
-1.5501;0.9299018;17
-1.5001;0.9296768;17
-1.4501;0.9326648;17
-1.4001;0.9316555;17
-1.3501;0.9328533;17
-1.3001;0.9351822;17
-1.2501;0.9360294;17
-1.2001;0.9337558;17
-1.1501;0.9334871;17
-1.1001;0.9341925;17
-1.0501;0.9360429;17
-1.0001;0.9311886;17
-0.9499998;0.9274013;17
-0.9000001;0.9344589;17
-0.8499999;0.9306454;17
-0.7999997;0.9301687;17
-0.75;0.9324942;17
-0.6999998;0.9305244;17
-0.6500001;0.9308061;17
-0.5999999;0.9357207;17
-0.5499997;0.9324948;17
-0.5;0.9323097;17
-0.4499998;0.9335911;17
-0.4000001;0.934295;17
-0.3499999;0.9345667;17
-0.2999997;0.9320245;17
-0.25;0.9307785;17
-0.1999998;0.93304;17
-0.1500001;0.9307449;17
-0.0999999;0.9326358;17
-0.04999971;0.9338519;17
0;0.9295672;17
0.05000019;0.9298095;17
0.0999999;0.9412164;17
0.1500001;0.9399914;17
0.2000003;0.9389007;17
0.25;0.9424482;17
0.3000002;0.9420287;17
0.3499999;0.9423485;17
0.4000001;0.944632;17
0.4500003;0.9438456;17
0.5;0.9443506;17
0.5500002;0.9490547;17
0.5999999;0.946192;17
0.6500001;0.9459352;17
0.7000003;0.9443873;17
0.75;0.9488488;17
0.8000002;0.9453104;17
0.8501;0.9496184;17
0.9001002;0.9448454;17
0.9500999;0.9482962;17
1.0001;0.9493191;17
1.0501;0.9490855;17
1.1001;0.9491954;17
1.1501;0.9459407;17
1.2001;0.9475926;17
1.2501;0.9512887;17
1.3001;0.9486116;17
1.3501;0.9481862;17
1.4001;0.9528399;17
1.4501;0.9501132;17
1.5001;0.9495575;17
1.5501;0.946363;17
1.6001;0.9543054;17
1.6501;0.9551895;17
1.7001;0.9517583;17
1.7501;0.9527795;17
1.8001;0.9488686;17
1.8501;0.9513652;17
1.9001;0.9507034;17
1.9501;0.9558589;17
2.0001;0.9580134;17
2.0501;0.9541932;17
2.1001;0.9564267;17
2.1501;0.9527274;17
2.2001;0.9549667;17
2.2501;0.9507406;17
2.3001;0.9517843;17
2.3501;0.9538853;17
2.4001;0.9513822;17
2.4501;0.9544951;17
2.5001;0.9521273;17
2.5501;0.9558836;17
2.6002;0.9551941;17
2.6502;0.9555172;17
2.7002;0.9542953;17
2.7502;0.9543785;17
2.8002;0.9575142;17
2.8502;0.9561629;17
2.9002;0.9577746;17
2.9502;0.9535435;17
3.0002;0.9599582;17
3.0502;0.9556725;17
3.1002;0.9530153;17
3.1502;0.956784;17
3.200201;0.9581563;17
3.2502;0.9609813;17
3.3002;0.9637026;17
3.3502;0.956118;17
3.4002;0.9618987;17
3.450201;0.9557949;17
3.5002;0.960869;17
3.5502;0.9598445;17
3.6002;0.9575298;17
3.6502;0.9570684;17
3.700201;0.9624065;17
3.7502;0.9576807;17
3.8002;0.9582719;17
3.8502;0.9631352;17
3.9002;0.9590302;17
3.950201;0.9607263;17
4.0002;0.9610011;17
4.0502;0.9575849;17
4.1002;0.9608208;17
4.1502;0.9589707;17
4.200201;0.9585353;17
4.2502;0.9624959;17
4.3002;0.9617482;17
4.3502;0.9600413;17
4.400301;0.9602965;17
4.4503;0.9575759;17
4.5003;0.9588973;17
4.5503;0.9602651;17
4.6003;0.960999;17
4.650301;0.9644533;17
4.7003;0.9609959;17
4.7503;0.9573777;17
4.8003;0.9613851;17
4.8503;0.960347;17
4.900301;0.9635664;17
4.9503;0.9617747;17
5.0003;0.9649629;17
5.0503;0.9641855;17
5.1003;0.9627764;17
5.150301;0.9626887;17
5.2003;0.9612833;17
5.2503;0.9623322;17
5.3003;0.9625053;17
5.3503;0.9617876;17
5.400301;0.9664749;17
