Time [s];Ratio 670nm / 650nm;Capillary Position
2.5501;0.8838228;9
2.6001;0.8870548;9
2.6501;0.8822008;9
2.7001;0.8841249;9
2.7501;0.889897;9
2.8001;0.8808764;9
2.8501;0.8790436;9
2.9001;0.8842437;9
2.9501;0.8793012;9
3.0001;0.8810566;9
3.0501;0.8858524;9
3.1001;0.8808339;9
3.1501;0.8777242;9
3.2001;0.8780196;9
3.2501;0.8790405;9
3.3001;0.882031;9
3.3501;0.8789161;9
3.4001;0.8777851;9
3.4501;0.8774958;9
3.5002;0.8831442;9
3.5502;0.8772253;9
3.6002;0.8791522;9
3.6502;0.8752356;9
3.700201;0.875762;9
3.7502;0.8812082;9
3.8002;0.8792897;9
3.8502;0.8796744;9
3.9002;0.8804057;9
3.950201;0.8772439;9
4.0002;0.8711135;9
4.0502;0.8752463;9
4.1002;0.8743894;9
4.1502;0.8825471;9
4.200201;0.880696;9
4.2502;0.8744024;9
4.3002;0.8790371;9
4.3502;0.8746989;9
4.4002;0.8737328;9
4.450201;0.871482;9
4.5002;0.8759712;9
4.5502;0.8753211;9
4.6002;0.877896;9
4.6502;0.8743796;9
4.700201;0.879868;9
4.7502;0.8694872;9
4.8002;0.8732314;9
4.8502;0.8752971;9
4.9002;0.8768728;9
4.950201;0.8743463;9
5.0002;0.8742508;9
5.0502;0.8736455;9
5.1002;0.8704489;9
5.1502;0.8774194;9
5.200201;0.8702261;9
5.2502;0.870572;9
5.3003;0.8697181;9
5.3503;0.8755841;9
5.400301;0.8740866;9
5.4503;0.8707045;9
5.5003;0.8707207;9
5.5503;0.8674415;9
5.6003;0.8688852;9
5.650301;0.8743074;9
5.7003;0.8684449;9
5.7503;0.8667301;9
5.8003;0.8709064;9
5.8503;0.8699271;9
5.900301;0.8743324;9
5.9503;0.8655332;9
6.0003;0.8659772;9
6.0503;0.8712482;9
6.1003;0.8691354;9
6.150301;0.8690562;9
6.2003;0.865212;9
6.2503;0.8693025;9
6.3003;0.8730364;9
6.3503;0.871532;9
6.400301;0.8645818;9
6.4503;0.8700875;9
6.5003;0.8718545;9
6.5503;0.869138;9
6.6003;0.8747893;9
6.650301;0.8653817;9
6.7003;0.8706945;9
6.7503;0.8673561;9
6.8003;0.8663663;9
6.8503;0.8655496;9
6.900301;0.8637446;9
6.9503;0.8640683;9
7.0003;0.8632867;9
7.0504;0.8716103;9
7.1004;0.8678405;9
7.1504;0.8667039;9
7.2004;0.8677628;9
7.2504;0.8653847;9
7.3004;0.8707859;9
7.3504;0.8668705;9
7.4004;0.8651461;9
7.4504;0.8651803;9
7.5004;0.8627957;9
7.5504;0.8640533;9
7.6004;0.8674541;9
7.6504;0.8620668;9
7.7004;0.8641415;9
7.7504;0.862845;9
7.8004;0.8648125;9
7.8504;0.8626517;9
7.9004;0.8653259;9
7.9504;0.8630415;9
8.000401;0.8662429;9
8.0504;0.86092;9
8.100401;0.8705832;9
8.1504;0.8686326;9
8.200399;0.8659493;9
8.250401;0.8633684;9
8.3004;0.8599314;9
8.350401;0.8610885;9
8.4004;0.8629938;9
8.450399;0.8646746;9
8.500401;0.8618619;9
8.5504;0.8573804;9
8.600401;0.8634408;9
8.6504;0.8644468;9
8.700399;0.8561822;9
8.750401;0.8661604;9
8.8004;0.8606364;9
8.8505;0.8590648;9
8.900499;0.8597396;9
8.9505;0.867714;9
9.0005;0.8545501;9
9.050501;0.8566389;9
9.1005;0.8606531;9
9.150499;0.8642007;9
9.2005;0.8629929;9
9.2505;0.8598265;9
9.300501;0.8668233;9
9.3505;0.8632317;9
9.400499;0.8599762;9
9.4505;0.8601255;9
9.5005;0.8606136;9
9.550501;0.8563752;9
9.6005;0.8611017;9
9.650499;0.8630701;9
9.7005;0.8599414;9
9.7505;0.8572653;9
9.800501;0.8554942;9
9.8505;0.8577797;9
9.900499;0.8616173;9
9.9505;0.8603177;9
10.0005;0.858233;9
10.0005;0.858233;9
-4.9503;0.6278313;17
-4.9003;0.6272845;17
-4.8503;0.6281155;17
-4.8003;0.6250044;17
-4.7503;0.6293222;17
-4.7003;0.6286273;17
-4.6503;0.6264051;17
-4.6003;0.6276886;17
-4.5503;0.6265928;17
-4.5003;0.6274282;17
-4.4503;0.62994;17
-4.4003;0.6295978;17
-4.3503;0.6288936;17
-4.3003;0.6263756;17
-4.2503;0.6269773;17
-4.2002;0.6299604;17
-4.1502;0.6273008;17
-4.1002;0.6279169;17
-4.0502;0.6280539;17
-4.0002;0.6282246;17
-3.9502;0.6278839;17
-3.9002;0.6269596;17
-3.8502;0.6272114;17
-3.8002;0.6278492;17
-3.7502;0.6264612;17
-3.7002;0.629102;17
-3.6502;0.6273397;17
-3.6002;0.6277949;17
-3.5502;0.6263701;17
-3.5002;0.6257288;17
-3.4502;0.6276696;17
-3.4002;0.624685;17
-3.3502;0.62613;17
-3.3002;0.6268481;17
-3.2502;0.6270797;17
-3.2002;0.6252233;17
-3.1502;0.6274523;17
-3.1002;0.6260832;17
-3.0502;0.6245666;17
-3.0002;0.6304215;17
-2.9502;0.6261145;17
-2.9002;0.6285144;17
-2.8502;0.6283684;17
-2.8002;0.6271415;17
-2.7502;0.6288337;17
-2.7002;0.6260973;17
-2.6502;0.6270548;17
-2.6002;0.6248972;17
-2.5502;0.6265475;17
-2.5002;0.6256474;17
-2.4502;0.6265797;17
-2.4001;0.6280427;17
-2.3501;0.6258475;17
-2.3001;0.6263409;17
-2.2501;0.626135;17
-2.2001;0.6262043;17
-2.1501;0.6288443;17
-2.1001;0.6271248;17
-2.0501;0.628305;17
-2.0001;0.6271267;17
-1.9501;0.626545;17
-1.9001;0.624253;17
-1.8501;0.6259285;17
-1.8001;0.6259132;17
-1.7501;0.6268766;17
-1.7001;0.6248801;17
-1.6501;0.6250989;17
-1.6001;0.6240575;17
-1.5501;0.6260164;17
-1.5001;0.6258993;17
-1.4501;0.6279765;17
-1.4001;0.6255649;17
-1.3501;0.6258635;17
-1.3001;0.6254363;17
-1.2501;0.6273722;17
-1.2001;0.6283662;17
-1.1501;0.627247;17
-1.1001;0.6252966;17
-1.0501;0.6253217;17
-1.0001;0.6261385;17
-0.9500999;0.6251507;17
-0.9000998;0.6254279;17
-0.8501;0.626371;17
-0.8000998;0.6237389;17
-0.7501001;0.6264145;17
-0.7000999;0.6261762;17
-0.6500001;0.6262802;17
-0.5999999;0.6250851;17
-0.5499997;0.6283149;17
-0.5;0.62642;17
-0.4499998;0.6252832;17
-0.4000001;0.6238087;17
-0.3499999;0.6268724;17
-0.2999997;0.6279058;17
-0.25;0.6276488;17
-0.1999998;0.6265351;17
-0.1500001;0.6270362;17
-0.0999999;0.627015;17
-0.04999971;0.6261167;17
0;0.6260478;17
0.05000019;0.6255324;17
0.0999999;0.6185009;17
0.1500001;0.6166679;17
0.2000003;0.6190882;17
0.25;0.615799;17
0.3000002;0.6165544;17
0.3499999;0.6139787;17
0.4000001;0.6151936;17
0.4500003;0.6126027;17
0.5;0.6109348;17
0.5500002;0.6097224;17
0.5999999;0.610432;17
0.6500001;0.6092861;17
0.7000003;0.6087494;17
0.75;0.6074152;17
0.8000002;0.6067808;17
0.8499999;0.6070617;17
0.9000001;0.6098395;17
0.9500003;0.6061473;17
1;0.6052251;17
1.05;0.6049547;17
1.1;0.6055182;17
1.1501;0.6013044;17
1.2001;0.6037982;17
1.2501;0.6040562;17
1.3001;0.6059176;17
1.3501;0.6023215;17
1.4001;0.6027462;17
1.4501;0.6034263;17
1.5001;0.6042835;17
1.5501;0.6005526;17
1.6001;0.5995578;17
1.6501;0.5994323;17
1.7001;0.6007555;17
1.7501;0.5991189;17
1.8001;0.5992752;17
1.8501;0.5982091;17
1.9001;0.5965726;17
1.9501;0.5987676;17
2.0001;0.5985737;17
2.0501;0.5969942;17
2.1001;0.5971405;17
2.1501;0.5948859;17
2.2001;0.5968162;17
2.2501;0.5968534;17
2.3001;0.5955434;17
2.3501;0.5912701;17
2.4001;0.594344;17
